FBMCKLCI,FTSE Bursa Malaysia KLCI
CPO,Crude Palm Oil
SGDMYR,SGD/MYR
USDMYR,USD/MYR
CNYMYR,CNY/MYR
GBPMYR,GBP/MYR
HKDMYR,HKD/MYR
TWDMYR,100 TWD/MYR
JYPMYR,100 JPY/MYR
NZDMYR,NZD/MYR
AUDMYR,AUD/MYR
EURMYR,EUR/MYR
CADMYR,CAD/MYR
CHFMYR,CHF/MYR
